game,number,as of,free,date,publisher
Candy Crush Saga,"2,730?million downloads[a]",Nov-17,Free-to-play,12-Apr-12,King
PUBG: Battlegrounds,"1,200?million downloads[a]",Dec-21,Free-to-play,20-Dec-17,Krafton?/?Tencent
CrossFire,"1,000?million",Feb-20,Free-to-play,3-May-07,Smilegate?/?Tencent
Dungeon Fighter Online,850?million,Dec-21,Free-to-play,Aug-05,Nexon?/?Tencent
Minecraft,738?million[a][c],Apr-21,Pay-to-play / free-to-play[c],18-Nov-11,Mojang?/?NetEase[c]
QQ Speed / GKART / Speed Drifters,700?million[a],Jan-20,Free-to-play,23-Jan-08,Tencent?/?Garena
Pac-Man Doodle,505?million peak?daily players[d][a],May-10,Free-to-play,21-May-10,Bandai Namco?/?Google
Among Us,500?million peak monthly players[e],Nov-20,Free-to-play /?pay-to-play[f],15-Jun-18,Innersloth
Microsoft Solitaire,400?million,Jul-15,Free-to-play,22-May-90,Microsoft
Mini World,400?million[a],Apr-20,Free-to-play,26-Dec-15,Miniwan
Crazyracing Kartrider,380?million registered accounts,Mar-20,Free-to-play,1-Jun-04,Nexon
Fortnite,350?million registered accounts[a],May-20,Free-to-play,26-Sep-17,Epic Games
Fantasy Westward Journey,310?million registered accounts,Apr-15,Free-to-play,Dec-01,NetEase
RuneScape,280?million registered accounts,Apr-20,Subscription?/ free-to-play,4-Jan-01,Jagex
Rules of Survival,230?million[a],Oct-18,Free-to-play,17-Nov-17,NetEase
Roblox,202?million peak monthly players,Apr-21,Free-to-play,27-Aug-06,Roblox Corporation
Club Penguin,200?million registered accounts,Jul-13,Free-to-play,Oct-05,Disney Interactive Studios
Dragon Nest,200?million,Mar-13,Free-to-play,Mar-10,Nexon
MapleStory,180?million registered accounts,Mar-20,Free-to-play,29-Apr-03,Nexon
Tetris,177?million[a],Sep-08,Pay-to-play / free-to-play,6-Jun-84,Various
Animal Jam,160?million,Oct-17,Free-to-play,Sep-10,WildWorks
World of Tanks,160?million,Apr-20,Free-to-play,12-Aug-10,Wargaming
Grand Theft Auto V,140?million,Feb-21,Pay-to-play,1-Oct-13,Rockstar Games
The Legend of Mir 3,120?million registered accounts,Feb-12,Subscription,Oct-04,WeMade Entertainment
League of Legends,111?million peak?monthly players,Aug-18,Free-to-play,27-Oct-09,Riot Games
Transformice,100?million registered accounts,Apr-19,Free-to-play,1-May-10,Atelier 801
World of Warcraft,100?million registered accounts,Jan-14,Subscription / pay-to-play[g],23-Nov-04,Blizzard Entertainment
CityVille,100?million[a],Oct-11,Free-to-play,2-Dec-10,Zynga
