名次,遊戲名,日期,銷售量(萬),類型,中文,開發商
1,马力欧卡丁车8 豪华版,2017年4月28日,4682,竞速,是,任天堂情報開發本部
2,集合啦！動物森友會,2020年3月20日,3938,生活模擬,是,任天堂企劃製作本部
3,任天堂明星大亂鬥 特別版,2018年12月7日,2882,動作、格鬥,是,Sora
4,塞尔达传说 旷野之息,2017年3月3日,2714,动作冒险、动作角色扮演,是,任天堂企劃製作本部
5,宝可梦 劍／盾,2019年11月15日,2450,角色扮演,是,GAME FREAK
6,超级马力欧 奥德赛,2017年10月27日,2393,平台、动作冒险,是,1-UP工作室
7,超级马力欧派对,2018年10月5日,1806,聚会,是,NDcube
8,寶可夢 晶燦鑽石／明亮珍珠,2021年11月19日,1479,角色扮演,是,ILCA（日语：）
9,精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布,2018年11月16日,1466,角色扮演,是,GAME FREAK
10,健身環大冒險,2019年10月18日,1454,體育(健身)、角色扮演,是,任天堂企劃製作本部
11,新超級瑪利歐兄弟U 豪華版,2019年1月11日,1331,平台,是,任天堂情報開發本部
12,Splatoon 2,2017年7月21日,1330,第三人称射击,否,任天堂企劃製作本部
13,寶可夢傳說 阿爾宙斯,2022年1月28日,1264,動作角色扮演,是,GAME FREAK
14,路易吉洋馆3,2019年10月31日,1143,动作冒险,是,Next Level Games
15,超級瑪利歐3D世界+狂怒世界,2021年2月12日,943,平台,是,任天堂企劃製作本部
16,超級瑪利歐 3D收藏輯,2020年9月18日,907,平台,否 ,任天堂企劃製作本部
17,超級瑪利歐創作家2,2019年6月28日,789,关卡编辑器、平台,是,任天堂企劃製作本部
18,魔物獵人 崛起,2021年3月26日,770,動作角色扮演,是,卡普空
19,瑪利歐派對 超級巨星,2021年10月29日,688,聚會,是,NDcube
20,薩爾達傳說 織夢島,2019年9月20日,608,動作冒險,是,Grezzo
21,Nintendo Switch 運動,2022年4月29日,484,體育,是,任天堂企劃製作本部
22,星之卡比 探索發現,2022年3月25日,453,平台,是,HAL研究所
23,瑪利歐網球 王牌高手,2018年6月22日,428,體育,是,Camelot Software Planning
24,世界遊戲大全51,2020年6月5日,422,桌上、聚會,是,NDcube
25,森喜剛 熱帶急凍,2018年5月3日,412,平台,否,Retro Studios
26,薩爾達無雙 災厄啟示錄,2020年11月20日,400,砍殺,是,光榮特庫摩
27,星之卡比 新星同盟,2018年3月16日,398,平台,是,HAL研究所
28,薩爾達傳說 禦天之劍 HD,2021年7月16日,391,動作冒險,是,丹達羅斯媒體（英语：）
29,火焰之紋章 風花雪月,2019年7月26日,382,戰略角色扮演,是,Intelligent Systems
30,1-2-Switch,2017年3月3日,363,聚会,否,任天堂企劃製作本部
31,桃太郎電鐵～昭和 平成 令和也是基本款！～,2020年11月19日,350,棋盤,否,INFIGHT
32,紙片瑪利歐 摺紙國王,2020年7月17日,334,角色扮演,是,Intelligent Systems
33,我的世界,2017年5月11日,320,沙盒,是,4J Studios
34,Among Us,2020年12月15日,320,聚會、生存,是,InnerSloth
35,耀西的手工世界,2019年3月29日,301,平台,是,Good-Feel（日语：）
36,密特羅德 生存恐懼,2021年10月8日,290,動作冒險,是,水銀蒸氣
37,ARMS,2017年6月16日,266,格斗,是,任天堂企劃製作本部
38,异度神剑2,2017年12月1日,244,角色扮演,是,Monolith Soft
39,New 寶可夢隨樂拍,2021年4月30日,240,動作、模擬,是,萬代南夢宮工作室
40,瑪利歐高爾夫 超級衝衝衝,2021年6月25日,235,體育,是,Camelot Software Planning
41,皮克敏3 豪華版,2020年10月30日,223,即時戰略,是,任天堂情報開發本部
42,前進！奇諾比奧隊長,2018年7月13日,213,平台、益智解謎,否,任天堂情報開發本部
43,马力欧+疯狂兔子 王国之战,2017年8月29日,200,战略角色扮演,是,育碧米蘭
44,瑪利歐激戰前鋒 戰鬥聯賽,2022年6月10日,191,體育,是,Next Level Games
45,歧路旅人,2018年7月13日,190,角色扮演,是,Acquire
46,寶可夢不可思議迷宮 救難隊DX（英语：）,2020年3月6日,189,隨機迷宮、角色扮演,否,Spike Chunsoft
47,寶可拳DX,2017年9月22日,180,格鬥,否,萬代南夢宮工作室
48,迷托邦,2021年5月21日,168,角色扮演,是,任天堂企劃製作本部
49,異度神劍 終極版,2020年5月29日,168,角色扮演,是,Monolith Soft
50,靈活腦學校 一起伸展大腦,2021年12月3日,159,教育,是,任天堂企劃製作本部
51,瑪利歐賽車實況 家庭賽車場,2020年10月16日,158,競速、擴增實境,是,Velan Studios
52,漫威英雄：終極聯盟3,2019年7月19日,150,清版動作、動作角色扮演,是,Team NINJA
53,任天堂LABO-01組合套裝,2018年4月20日,142,交互式模型套件,是,任天堂企劃製作本部
54,異界鎖鏈,2019年8月30日,128,動作,是,白金工作室
55,分享同樂！瓦利歐製造,2021年9月10日,127,益智、動作,是,Intelligent Systems
56,大人的Nintendo Switch脑部锻炼,2019年12月27日,120,益智,是,任天堂企划制作本部 
57,附帶導航！一做就上手 第一次的遊戲程式設計,2021年6月11日,106,關卡編輯器,是,任天堂企劃製作本部
58,猎天使魔女2,2018年2月16日,104,動作,否,白金工作室
59,火焰之纹章无双,2017年9月28日,100,砍殺,是,Team NINJA
60,挺進地牢,2017年12月14日,100,彈幕射擊,是,Dodge Roll
61,太鼓之達人 任天堂Switch版！,2018年7月19日,100,音樂,是,萬代南夢宮工作室
62,健身拳击,2018年12月20日,100,體育(健身)、節奏,是,imagineer（日语：）
63,火焰之纹章无双 风花雪月,2022年6月24日,100,砍殺,是,Team NINJA
