名次,遊戲名,發行日,銷售量(萬),類型,中文,發行量
1,集合啦！動物森友會,2020年3月20日,3938,生活模擬,是,任天堂企劃製作本部
2,寶可夢 晶燦鑽石／明亮珍珠,2021年11月19日,1479,角色扮演,是,ILCA（日语：）
3,寶可夢傳說 阿爾宙斯,2022年1月28日,1264,動作角色扮演,是,GAME FREAK
4,超級瑪利歐3D世界+狂怒世界,2021年2月12日,943,平台,是,任天堂企劃製作本部
5,超級瑪利歐 3D收藏輯,2020年9月18日,907,平台,否 ,任天堂企劃製作本部
6,魔物獵人 崛起,2021年3月26日,770,動作角色扮演,是,卡普空
7,瑪利歐派對 超級巨星,2021年10月29日,688,聚會,是,NDcube
8,Nintendo Switch 運動,2022年4月29日,484,體育,是,任天堂企劃製作本部
9,星之卡比 探索發現,2022年3月25日,453,平台,是,HAL研究所
10,世界遊戲大全51,2020年6月5日,422,桌上、聚會,是,NDcube
11,薩爾達無雙 災厄啟示錄,2020年11月20日,400,砍殺,是,光榮特庫摩
12,薩爾達傳說 禦天之劍 HD,2021年7月16日,391,動作冒險,是,丹達羅斯媒體（英语：）
13,桃太郎電鐵～昭和 平成 令和也是基本款！～,2020年11月19日,350,棋盤,否,INFIGHT
14,紙片瑪利歐 摺紙國王,2020年7月17日,334,角色扮演,是,Intelligent Systems
15,Among Us,2020年12月15日,320,聚會、生存,是,InnerSloth
16,密特羅德 生存恐懼,2021年10月8日,290,動作冒險,是,水銀蒸氣
17,New 寶可夢隨樂拍,2021年4月30日,240,動作、模擬,是,萬代南夢宮工作室
18,瑪利歐高爾夫 超級衝衝衝,2021年6月25日,235,體育,是,Camelot Software Planning
19,皮克敏3 豪華版,2020年10月30日,223,即時戰略,是,任天堂情報開發本部
20,瑪利歐激戰前鋒 戰鬥聯賽,2022年6月10日,191,體育,是,Next Level Games
21,寶可夢不可思議迷宮 救難隊DX（英语：）,2020年3月6日,189,隨機迷宮、角色扮演,否,Spike Chunsoft
22,迷托邦,2021年5月21日,168,角色扮演,是,任天堂企劃製作本部
23,異度神劍 終極版,2020年5月29日,168,角色扮演,是,Monolith Soft
24,靈活腦學校 一起伸展大腦,2021年12月3日,159,教育,是,任天堂企劃製作本部
25,瑪利歐賽車實況 家庭賽車場,2020年10月16日,158,競速、擴增實境,是,Velan Studios
26,分享同樂！瓦利歐製造,2021年9月10日,127,益智、動作,是,Intelligent Systems
27,附帶導航！一做就上手 第一次的遊戲程式設計,2021年6月11日,106,關卡編輯器,是,任天堂企劃製作本部
28,火焰之纹章无双 风花雪月,2022年6月24日,100,砍殺,是,Team NINJA
